"No"	"Study_ID"	"Sample_No"	"Sample_NoR"	"Reference"	"Publication_Year"	"Publication_Type"	"Design_for_Effect_Size"	"Effect_Size_Design_Code"	"Study_Design_Code"	"Experiment_Dummy"	"PrePost_within_Experiment_Dummy"	"Treatment_PrePost_Dummy"	"Control_PrePost_Dummy"	"Control_Random_Assignment_Dummy"	"Pharmacologic_vs._Psychosocial_intervention"	"Intervention_Type_Code"	"Clinical_vs._Nonclinical"	"Sample_Type_Code"	"Intervention_Type"	"Intervention_Type_recode"	"Ongoing_Patient_Dummy"	"Pharmacological_Intervention_Dummy"	"CognitiveBehavioral_Therapy_Dummy"	"SupportiveHumanistic_Therapy_Dummy"	"Psychoanalytic_Therapy_Dummy"	"Hospitalization_NOS_Dummy"	"Mixed_Interventionn_Dummy"	"Other_Dummy"	"Client_mean_age"	"Sample_size"	"Male_N"	"Female_N"	"FemaleP"	"Overall_N"	"Treatment_N"	"Control_N"	"Full_Sample_Dummy"	"Longitudinal_Study_Dummy"	"Full_with_different_Followup_length"	"ExperimentControl_PrePost_Subsample_different_length_not_included"	"Subsample_responders"	"Subsample_nonresponders"	"Notes_on_Sample"	"Duration_of_intervention_weeks"	"Duration_of_Intervention"	"Followup_time"	"Followup_time_code"	"Long_term_followup"	"Personality_measure_used"	"Personality_domain_assessed"	"Direction"	"Direction_sign"	"N"	"E"	"O"	"A"	"C"	"Total_Scale"	"Client_type"	"Disorder_type"	"Disorder_Type_code"	"depression_dummy"	"anxiety_dummy"	"personaliity_disorder_dummy"	"eating_disorder_dummy"	"substance_use_dummy"	"mixed_disorders_dummy"	"other_dummy"	"Pretest_Control_Mean"	"Pretest_SD"	"Posttest_Treatment_Mean"	"Posttest_SD"	"Effect_Size_Cohens_d"	"Effect_Size_correct_direction"	"Effect_Size_recomputed"	"Effect_Size_recomputed_correct_direction"	"pvalue"	"Reliability_of_Criterion"	"Sample_SD_of_criterion"	"Population_SD_of_criterion"	"d_to_r"	"corrected_r"	"Corrected_Effect_Size_d"	"Notes"
"131"	131	15	26	26	"Foulds, Guinan, & Hannigan (1974)"	1974	"journal article"	"pre-post test"	2	1	0	1	0	1	0	"control"	"0"	"Non-clinical"	1	"experiential-Gestalt"	"control"	0	0	0	0	0	0	0	0	"20.100000000000001"	"18 in treatment group, 18 in control"	"18"	"18"	50	18	18	18	0	0	0	0	0	0	"control group"	"24 hours"	1	"immediate after"	0	0	"California Personality Inventory"	"Capacity for status"	"+"	1	0	0	0	0	0	0	"college students"	"none"	8	0	0	0	0	0	0	0	"18.72"	"4.93"	"18.559999999999999"	"5.25"	-0.0324543610547668	-0.0324543610547668	-0.0324543610547668	-0.0324543610547668	NA	NA	5.09251411387342	NA	-0.016225044467378	NA	-0.0324543610547668	NA
"132"	132	15	26	26	"Foulds, Guinan, & Hannigan (1974)"	1974	"journal article"	"pre-post test"	2	1	0	1	0	1	0	"control"	"0"	"Non-clinical"	1	"experiential-Gestalt"	"control"	0	0	0	0	0	0	0	0	"20.100000000000001"	"18 in treatment group, 18 in control"	"18"	"18"	50	18	18	18	0	0	0	0	0	0	"control group"	"24 hours"	1	"immediate after"	0	0	"California Personality Inventory"	"Sociability"	"+"	1	0	1	0	0	0	0	"college students"	"none"	8	0	0	0	0	0	0	0	"23.22"	"4.83"	"22.89"	"5.0599999999999996"	-0.0683229813664593	-0.0683229813664593	-0.0683229813664593	-0.0683229813664593	NA	NA	4.94633702854951	NA	-0.0341415747560701	NA	-0.0683229813664593	NA
"133"	133	15	26	26	"Foulds, Guinan, & Hannigan (1974)"	1974	"journal article"	"pre-post test"	2	1	0	1	0	1	0	"control"	"0"	"Non-clinical"	1	"experiential-Gestalt"	"control"	0	0	0	0	0	0	0	0	"20.100000000000001"	"18 in treatment group, 18 in control"	"18"	"18"	50	18	18	18	0	0	0	0	0	0	"control group"	"24 hours"	1	"immediate after"	0	0	"California Personality Inventory"	"Social presence"	"+"	1	0	1	0	0	0	0	"college students"	"none"	8	0	0	0	0	0	0	0	"37.11"	"5.38"	"36.56"	"6.5"	-0.102230483271375	-0.102230483271375	-0.102230483271375	-0.102230483271375	NA	NA	5.96633891092351	NA	-0.0510485960723569	NA	-0.102230483271375	NA
"134"	134	15	26	26	"Foulds, Guinan, & Hannigan (1974)"	1974	"journal article"	"pre-post test"	2	1	0	1	0	1	0	"control"	"0"	"Non-clinical"	1	"experiential-Gestalt"	"control"	0	0	0	0	0	0	0	0	"20.100000000000001"	"18 in treatment group, 18 in control"	"18"	"18"	50	18	18	18	0	0	0	0	0	0	"control group"	"24 hours"	1	"immediate after"	0	0	"California Personality Inventory"	"Self-acceptance"	"+"	1	0	1	0	0	0	0	"college students"	"none"	8	0	0	0	0	0	0	0	"21.44"	"3.9"	"21.5"	"3.61"	0.0153846153846151	0.0153846153846151	0.0153846153846151	0.0153846153846151	NA	NA	3.75779855766644	NA	0.00769208011933905	NA	0.0153846153846151	NA
"135"	135	15	26	26	"Foulds, Guinan, & Hannigan (1974)"	1974	"journal article"	"pre-post test"	2	1	0	1	0	1	0	"control"	"0"	"Non-clinical"	1	"experiential-Gestalt"	"control"	0	0	0	0	0	0	0	0	"20.100000000000001"	"18 in treatment group, 18 in control"	"18"	"18"	50	18	18	18	0	0	0	0	0	0	"control group"	"24 hours"	1	"immediate after"	0	0	"California Personality Inventory"	"Sense of well-being"	"+"	1	1	0	0	0	1	0	"college students"	"none"	8	0	0	0	0	0	0	0	"34.06"	"6.21"	"33.89"	"6.3"	-0.027375201288245	-0.027375201288245	-0.027375201288245	-0.027375201288245	NA	NA	6.25516186840916	NA	-0.0136863186354525	NA	-0.027375201288245	NA
"136"	136	15	26	26	"Foulds, Guinan, & Hannigan (1974)"	1974	"journal article"	"pre-post test"	2	1	0	1	0	1	0	"control"	"0"	"Non-clinical"	1	"experiential-Gestalt"	"control"	0	0	0	0	0	0	0	0	"20.100000000000001"	"18 in treatment group, 18 in control"	"18"	"18"	50	18	18	18	0	0	0	0	0	0	"control group"	"24 hours"	1	"immediate after"	0	0	"California Personality Inventory"	"Responsibility"	"+"	1	1	0	0	0	1	0	"college students"	"none"	8	0	0	0	0	0	0	0	"26.06"	"5.28"	"26"	"4.6500000000000004"	-0.0113636363636361	-0.0113636363636361	-0.0113636363636361	-0.0113636363636361	NA	NA	4.97498241202921	NA	-0.00568172647080606	NA	-0.0113636363636361	NA
"137"	137	15	26	26	"Foulds, Guinan, & Hannigan (1974)"	1974	"journal article"	"pre-post test"	2	1	0	1	0	1	0	"control"	"0"	"Non-clinical"	1	"experiential-Gestalt"	"control"	0	0	0	0	0	0	0	0	"20.100000000000001"	"18 in treatment group, 18 in control"	"18"	"18"	50	18	18	18	0	0	0	0	0	0	"control group"	"24 hours"	1	"immediate after"	0	0	"California Personality Inventory"	"Socialization"	"+"	1	1	0	0	0	1	0	"college students"	"none"	8	0	0	0	0	0	0	0	"33.06"	"4.18"	"32.89"	"4.82"	-0.0406698564593306	-0.0406698564593306	-0.0406698564593306	-0.0406698564593306	NA	NA	4.51136343027249	NA	-0.0203307251920858	NA	-0.0406698564593306	NA
"138"	138	15	26	26	"Foulds, Guinan, & Hannigan (1974)"	1974	"journal article"	"pre-post test"	2	1	0	1	0	1	0	"control"	"0"	"Non-clinical"	1	"experiential-Gestalt"	"control"	0	0	0	0	0	0	0	0	"20.100000000000001"	"18 in treatment group, 18 in control"	"18"	"18"	50	18	18	18	0	0	0	0	0	0	"control group"	"24 hours"	1	"immediate after"	0	0	"California Personality Inventory"	"Self-control"	"+"	1	1	0	0	0	1	0	"college students"	"none"	8	0	0	0	0	0	0	0	"20.329999999999998"	"8.3800000000000008"	"20.89"	"8.65"	0.0668257756563248	0.0668257756563248	0.0668257756563248	0.0668257756563248	NA	NA	8.51607010304636	NA	0.0333942520047401	NA	0.0668257756563248	NA
"139"	139	15	26	26	"Foulds, Guinan, & Hannigan (1974)"	1974	"journal article"	"pre-post test"	2	1	0	1	0	1	0	"control"	"0"	"Non-clinical"	1	"experiential-Gestalt"	"control"	0	0	0	0	0	0	0	0	"20.100000000000001"	"18 in treatment group, 18 in control"	"18"	"18"	50	18	18	18	0	0	0	0	0	0	"control group"	"24 hours"	1	"immediate after"	0	0	"California Personality Inventory"	"Tolerance"	"+"	1	0	0	1	0	0	0	"college students"	"none"	8	0	0	0	0	0	0	0	"18.940000000000001"	"4.17"	"18.670000000000002"	"4.28"	-0.0647482014388488	-0.0647482014388488	-0.0647482014388488	-0.0647482014388488	NA	NA	4.22535797300063	NA	-0.0323571486810632	NA	-0.0647482014388488	NA
"140"	140	15	26	26	"Foulds, Guinan, & Hannigan (1974)"	1974	"journal article"	"pre-post test"	2	1	0	1	0	1	0	"control"	"0"	"Non-clinical"	1	"experiential-Gestalt"	"control"	0	0	0	0	0	0	0	0	"20.100000000000001"	"18 in treatment group, 18 in control"	"18"	"18"	50	18	18	18	0	0	0	0	0	0	"control group"	"24 hours"	1	"immediate after"	0	0	"California Personality Inventory"	"Good impression"	"+"	1	1	0	0	0	1	0	"college students"	"none"	8	0	0	0	0	0	0	0	"15"	"4.24"	"14.94"	"4.7"	-0.0141509433962265	-0.0141509433962265	-0.0141509433962265	-0.0141509433962265	NA	NA	4.47591331462083	NA	-0.00707529459757027	NA	-0.0141509433962265	NA
"141"	141	15	26	26	"Foulds, Guinan, & Hannigan (1974)"	1974	"journal article"	"pre-post test"	2	1	0	1	0	1	0	"control"	"0"	"Non-clinical"	1	"experiential-Gestalt"	"control"	0	0	0	0	0	0	0	0	"20.100000000000001"	"18 in treatment group, 18 in control"	"18"	"18"	50	18	18	18	0	0	0	0	0	0	"control group"	"24 hours"	1	"immediate after"	0	0	"California Personality Inventory"	"Communality"	"+"	1	0	0	0	1	0	0	"college students"	"none"	8	0	0	0	0	0	0	0	"23.11"	"3.12"	"23.44"	"2.29"	0.105769230769231	0.105769230769231	0.105769230769231	0.105769230769231	NA	NA	2.73664941123265	NA	0.0528108167630233	NA	0.105769230769231	NA
"142"	142	15	26	26	"Foulds, Guinan, & Hannigan (1974)"	1974	"journal article"	"pre-post test"	2	1	0	1	0	1	0	"control"	"0"	"Non-clinical"	1	"experiential-Gestalt"	"control"	0	0	0	0	0	0	0	0	"20.100000000000001"	"18 in treatment group, 18 in control"	"18"	"18"	50	18	18	18	0	0	0	0	0	0	"control group"	"24 hours"	1	"immediate after"	0	0	"California Personality Inventory"	"Achievement via conformance"	"+"	1	0	0	0	0	1	0	"college students"	"none"	8	0	0	0	0	0	0	0	"20.39"	"4.83"	"20.329999999999998"	"4.7300000000000004"	-0.0124223602484477	-0.0124223602484477	-0.0124223602484477	-0.0124223602484477	NA	NA	4.78026149912324	NA	-0.00621106031788119	NA	-0.0124223602484477	NA
"143"	143	15	26	26	"Foulds, Guinan, & Hannigan (1974)"	1974	"journal article"	"pre-post test"	2	1	0	1	0	1	0	"control"	"0"	"Non-clinical"	1	"experiential-Gestalt"	"control"	0	0	0	0	0	0	0	0	"20.100000000000001"	"18 in treatment group, 18 in control"	"18"	"18"	50	18	18	18	0	0	0	0	0	0	"control group"	"24 hours"	1	"immediate after"	0	0	"California Personality Inventory"	"Achievement via independence"	"+"	1	0	0	1	0	0	0	"college students"	"none"	8	0	0	0	0	0	0	0	"21.06"	"3.63"	"21.11"	"3.48"	0.0137741046831958	0.0137741046831958	0.0137741046831958	0.0137741046831958	NA	NA	3.55579105122897	NA	0.00688688901583098	NA	0.0137741046831958	NA
"144"	144	15	26	26	"Foulds, Guinan, & Hannigan (1974)"	1974	"journal article"	"pre-post test"	2	1	0	1	0	1	0	"control"	"0"	"Non-clinical"	1	"experiential-Gestalt"	"control"	0	0	0	0	0	0	0	0	"20.100000000000001"	"18 in treatment group, 18 in control"	"18"	"18"	50	18	18	18	0	0	0	0	0	0	"control group"	"24 hours"	1	"immediate after"	0	0	"California Personality Inventory"	"Intellectual efficiency"	"+"	1	0	0	1	0	0	0	"college students"	"none"	8	0	0	0	0	0	0	0	"36.33"	"5.55"	"36.5"	"4.84"	0.0306306306306309	0.0306306306306309	0.0306306306306309	0.0306306306306309	NA	NA	5.20711532424624	NA	0.0153135194596066	NA	0.0306306306306309	NA
"145"	145	15	26	26	"Foulds, Guinan, & Hannigan (1974)"	1974	"journal article"	"pre-post test"	2	1	0	1	0	1	0	"control"	"0"	"Non-clinical"	1	"experiential-Gestalt"	"control"	0	0	0	0	0	0	0	0	"20.100000000000001"	"18 in treatment group, 18 in control"	"18"	"18"	50	18	18	18	0	0	0	0	0	0	"control group"	"24 hours"	1	"immediate after"	0	0	"California Personality Inventory"	"Psychological-mindedness"	"+"	1	0	0	1	0	0	0	"college students"	"none"	8	0	0	0	0	0	0	0	"12"	"2.67"	"12.17"	"3.13"	0.0636704119850187	0.0636704119850187	0.0636704119850187	0.0636704119850187	NA	NA	2.90910639200425	NA	0.03181908606669	NA	0.0636704119850187	NA
"146"	146	15	26	26	"Foulds, Guinan, & Hannigan (1974)"	1974	"journal article"	"pre-post test"	2	1	0	1	0	1	0	"control"	"0"	"Non-clinical"	1	"experiential-Gestalt"	"control"	0	0	0	0	0	0	0	0	"20.100000000000001"	"18 in treatment group, 18 in control"	"18"	"18"	50	18	18	18	0	0	0	0	0	0	"control group"	"24 hours"	1	"immediate after"	0	0	"California Personality Inventory"	"Flexibility"	"+"	1	0	0	1	0	0	0	"college students"	"none"	8	0	0	0	0	0	0	0	"14.17"	"3.86"	"14.39"	"4.04"	0.0569948186528499	0.0569948186528499	0.0569948186528499	0.0569948186528499	NA	NA	3.95102518341759	NA	0.0284858449631583	NA	0.0569948186528499	NA
"147"	147	15	26	26	"Foulds, Guinan, & Hannigan (1974)"	1974	"journal article"	"pre-post test"	2	1	0	1	0	1	0	"control"	"0"	"Non-clinical"	1	"experiential-Gestalt"	"control"	0	0	0	0	0	0	0	0	"20.100000000000001"	"18 in treatment group, 18 in control"	"18"	"18"	50	18	18	18	0	0	0	0	0	0	"control group"	"24 hours"	1	"immediate after"	0	0	"California Personality Inventory"	"Femininity"	"-"	-1	1	0	0	0	0	0	"college students"	"none"	8	0	0	0	0	0	0	0	"19.78"	"4.24"	"20"	"4.7"	0.0518867924528299	-0.0518867924528299	0.0518867924528299	-0.0518867924528299	NA	NA	4.47591331462083	NA	-0.025934669902533	NA	-0.0518867924528299	NA
"27"	27	4	6	6	"Gi, Egger, Kaarsemaker, & Kreutzkamp (2010)"	2010	"journal article"	"Pre-Post test"	2	0	0	0	1	0	0	"Psycho-social"	"1"	"Clinical"	2	"cognitive-behavioral"	"combination of CBT, sociotherapy, and art therapy"	1	0	0	0	0	0	1	0	"33.700000000000003"	"134"	"55"	"79"	58.955223880597	134	134	134	1	0	1	0	0	0	NA	"12--24"	18	"start and end of treatment"	0	0	"NEO Five Factor Inventory (NEO-FFI)"	"Neuroticism"	"-"	-1	1	0	0	0	0	0	"inpatients"	"anxiety"	2	0	1	0	0	0	0	0	"47.1"	"7.5"	"40.5"	"7.5"	-0.88	0.88	-0.88	0.88	"0"	"0.83"	7.5	NA	0.402738614266017	0.442063059641827	0.985665456668025	NA
"28"	28	4	6	6	"Gi, Egger, Kaarsemaker, & Kreutzkamp (2010)"	2010	"journal article"	"Pre-Post test"	2	0	0	0	1	0	0	"Psycho-social"	"1"	"Clinical"	2	"cognitive-behavioral"	"combination of CBT, sociotherapy, and art therapy"	1	0	0	0	0	0	1	0	"33.700000000000003"	"134"	"55"	"79"	58.955223880597	134	134	134	1	0	1	0	0	0	NA	"12--24"	18	"start and end of treatment"	0	0	"NEO Five Factor Inventory (NEO-FFI)"	"Extroversion"	"+"	1	0	1	0	0	0	0	"inpatients"	"anxiety"	2	0	1	0	0	0	0	0	"32"	"5.7"	"36.5"	"5.7"	0.789473684210526	0.789473684210526	0.789473684210526	0.789473684210526	"0"	NA	5.7	NA	0.367166534736048	NA	0.789473684210526	NA
"29"	29	4	6	6	"Gi, Egger, Kaarsemaker, & Kreutzkamp (2010)"	2010	"journal article"	"Pre-Post test"	2	0	0	0	1	0	0	"Psycho-social"	"1"	"Clinical"	2	"cognitive-behavioral"	"combination of CBT, sociotherapy, and art therapy"	1	0	0	0	0	0	1	0	"33.700000000000003"	"134"	"55"	"79"	58.955223880597	134	134	134	1	0	1	0	0	0	NA	"12--24"	18	"start and end of treatment"	0	0	"NEO Five Factor Inventory (NEO-FFI)"	"Openness to Experience"	"+"	1	0	0	1	0	0	0	"inpatients"	"anxiety"	2	0	1	0	0	0	0	0	"36.799999999999997"	"4.4000000000000004"	"37.299999999999997"	"4.4000000000000004"	0.113636363636364	0.113636363636364	0.113636363636364	0.113636363636364	"0.21"	"0.83"	4.4	NA	0.0567266900487072	0.0622656315486088	0.124773371724023	NA
"30"	30	4	6	6	"Gi, Egger, Kaarsemaker, & Kreutzkamp (2010)"	2010	"journal article"	"Pre-Post test"	2	0	0	0	1	0	0	"Psycho-social"	"1"	"Clinical"	2	"cognitive-behavioral"	"combination of CBT, sociotherapy, and art therapy"	1	0	0	0	0	0	1	0	"33.700000000000003"	"134"	"55"	"79"	58.955223880597	134	134	134	1	0	1	0	0	0	NA	"12--24"	18	"start and end of treatment"	0	0	"NEO Five Factor Inventory (NEO-FFI)"	"Agreeableness"	"+"	1	0	0	0	1	0	0	"inpatients"	"anxiety"	2	0	1	0	0	0	0	0	"43"	"3.9"	"52.6"	"3.9"	2.46153846153846	2.46153846153846	0.1	0.1	"0.24"	"0.64"	3.9	NA	0.776114000116266	0.970142500145332	8	NA
"31"	31	4	6	6	"Gi, Egger, Kaarsemaker, & Kreutzkamp (2010)"	2010	"journal article"	"Pre-Post test"	2	0	0	0	1	0	0	"Psycho-social"	"1"	"Clinical"	2	"cognitive-behavioral"	"combination of CBT, sociotherapy, and art therapy"	1	0	0	0	0	0	1	0	"33.700000000000003"	"134"	"55"	"79"	58.955223880597	134	134	134	1	0	1	0	0	0	NA	"12--24"	18	"start and end of treatment"	0	0	"NEO Five Factor Inventory (NEO-FFI)"	"Conscientiousness"	"+"	1	0	0	0	0	1	0	"inpatients"	"anxiety"	2	0	1	0	0	0	0	0	"40.4"	"4.9000000000000004"	"40.799999999999997"	"4.9000000000000004"	0.0816326530612242	0.0816326530612242	0.0816326530612242	0.0816326530612242	"0.38"	NA	4.9	NA	0.0407823695143091	NA	0.0816326530612242	NA
"32"	32	5	7	7	"Glinski & Page (2010)"	2010	"journal article"	"Pre-Post test"	2	0	0	0	1	0	0	"Psycho-social"	"1"	"Clinical"	2	"cognitive-behavioral"	"cognitive-behavioral"	0	0	1	0	0	0	0	0	"37.200000000000003"	"25"	"15"	"10"	40	25	25	25	1	0	1	0	0	0	NA	"9"	9	"start and end of treatment"	0	0	"NEO-PI-R (Costa & McCrae, 1992)"	"Neuroticism"	"-"	-1	1	0	0	0	0	0	"outpatients"	"social anxiety disorder"	2	0	1	0	0	0	0	0	"131.54"	"22.66"	"114.92"	"27.9"	-0.733451015004413	0.733451015004413	-0.733451015004413	0.733451015004413	"<0.001"	NA	25.415404777418	NA	0.344303344968227	NA	0.733451015004413	NA
"33"	33	5	7	7	"Glinski & Page (2010)"	2010	"journal article"	"Pre-Post test"	2	0	0	0	1	0	0	"Psycho-social"	"1"	"Clinical"	2	"cognitive-behavioral"	"cognitive-behavioral"	0	0	1	0	0	0	0	0	"37.200000000000003"	"25"	"15"	"10"	40	25	25	25	1	0	1	0	0	0	NA	"9"	9	"start and end of treatment"	0	0	"NEO-PI-R (Costa & McCrae, 1992)"	"Extraversion"	"+"	1	0	1	0	0	0	0	"outpatients"	"social anxiety disorder"	2	0	1	0	0	0	0	0	"82.29"	"19.96"	"93.63"	"23.22"	0.56813627254509	0.56813627254509	0.56813627254509	0.56813627254509	"<0.001"	NA	21.6514433699003	NA	0.273256819979315	NA	0.56813627254509	NA
"34"	34	5	7	7	"Glinski & Page (2010)"	2010	"journal article"	"Pre-Post test"	2	0	0	0	1	0	0	"Psycho-social"	"1"	"Clinical"	2	"cognitive-behavioral"	"cognitive-behavioral"	0	0	1	0	0	0	0	0	"37.200000000000003"	"25"	"15"	"10"	40	25	25	25	1	0	1	0	0	0	NA	"9"	9	"start and end of treatment"	0	0	"NEO-PI-R (Costa & McCrae, 1992)"	"Openness to Experience"	"+"	1	0	0	1	0	0	0	"outpatients"	"social anxiety disorder"	2	0	1	0	0	0	0	0	"115.79"	"16.75"	"119.71"	"15.92"	0.234029850746268	0.234029850746268	0.234029850746268	0.234029850746268	"7.0000000000000007E-2"	NA	16.3402708055895	NA	0.116221946527841	NA	0.234029850746268	NA
"35"	35	5	7	7	"Glinski & Page (2010)"	2010	"journal article"	"Pre-Post test"	2	0	0	0	1	0	0	"Psycho-social"	"1"	"Clinical"	2	"cognitive-behavioral"	"cognitive-behavioral"	0	0	1	0	0	0	0	0	"37.200000000000003"	"25"	"15"	"10"	40	25	25	25	1	0	1	0	0	0	NA	"9"	9	"start and end of treatment"	0	0	"NEO-PI-R (Costa & McCrae, 1992)"	"Agreeableness"	"+"	1	0	0	0	1	0	0	"outpatients"	"social anxiety disorder"	2	0	1	0	0	0	0	0	"121.42"	"14.02"	"122.5"	"9.6999999999999993"	0.0770328102710413	0.0770328102710413	0.0770328102710413	0.0770328102710413	"0.79"	NA	12.0550902111929	NA	0.0384878670812264	NA	0.0770328102710413	NA
"36"	36	5	7	7	"Glinski & Page (2010)"	2010	"journal article"	"Pre-Post test"	2	0	0	0	1	0	0	"Psycho-social"	"1"	"Clinical"	2	"cognitive-behavioral"	"cognitive-behavioral"	0	0	1	0	0	0	0	0	"37.200000000000003"	"25"	"15"	"10"	40	25	25	25	1	0	1	0	0	0	NA	"9"	9	"start and end of treatment"	0	0	"NEO-PI-R (Costa & McCrae, 1992)"	"Trust"	"+"	1	0	0	0	1	0	0	"outpatients"	"social anxiety disorder"	2	0	1	0	0	0	0	0	"16.829999999999998"	"5.3"	"18.88"	"5.01"	0.386792452830189	0.386792452830189	0.386792452830189	0.386792452830189	"0.02"	NA	5.15703887904677	NA	0.189877906305471	NA	0.386792452830189	NA
"37"	37	5	7	7	"Glinski & Page (2010)"	2010	"journal article"	"Pre-Post test"	2	0	0	0	1	0	0	"Psycho-social"	"1"	"Clinical"	2	"cognitive-behavioral"	"cognitive-behavioral"	0	0	1	0	0	0	0	0	"37.200000000000003"	"25"	"15"	"10"	40	25	25	25	1	0	1	0	0	0	NA	"9"	9	"start and end of treatment"	0	0	"NEO-PI-R (Costa & McCrae, 1992)"	"Conscientiousness"	"+"	1	0	0	0	0	1	0	"outpatients"	"social anxiety disorder"	2	0	1	0	0	0	0	0	"95.38"	"19.809999999999999"	"97.92"	"20.6"	0.12821807168097	0.12821807168097	0.12821807168097	0.12821807168097	"0.2"	NA	20.2088606804045	NA	0.0639776974912877	NA	0.12821807168097	NA
"928"	940	71	123	124	"Goel, Terman, & Terman (2003)"	2003	"journal article"	"pre-post test"	2	0	0	0	1	0	0	"bright light therapy"	NA	"clinical"	2	NA	"light therapy"	0	0	0	0	0	0	0	1	"39.79"	"89 at baseline, 88 post-treatment, 75 spring remission"	"20"	"69"	77.5	89	89	89	1	0	1	0	0	0	"patients with major depressive disorder or bipolar disorder"	"10-14 days"	2	"immediate after"	0	0	"Tridimensional Personality Questionnaire (TPQ)"	"Reward dependence"	"+"	1	0	0	0	1	0	0	"outpatients"	"Major depressive disorder or Bipolar disorder"	1	1	0	0	0	0	0	0	"19.09"	"4.8499999999999996"	"19.66"	"4.9000000000000004"	0.117525773195876	0.117525773195876	0.117525773195876	0.117525773195876	NA	NA	NA	NA	0.0586616922152189	NA	0.117525773195876	NA
"929"	941	71	123	124	"Goel, Terman, & Terman (2003)"	2003	"journal article"	"pre-post test"	2	0	0	0	1	0	0	"bright light therapy"	NA	"clinical"	2	NA	"light therapy"	0	0	0	0	0	0	0	1	"39.79"	"89 at baseline, 88 post-treatment, 75 spring remission"	"20"	"69"	77.5	89	89	89	1	0	1	0	0	0	"patients with major depressive disorder or bipolar disorder"	"10-14 days"	2	"immediate after"	0	0	"Tridimensional Personality Questionnaire (TPQ)"	"Harm avoidance"	"-"	-1	1	1	0	0	0	0	"outpatients"	"Major depressive disorder or Bipolar disorder"	1	1	0	0	0	0	0	0	"17.239999999999998"	"7.5"	"13.97"	"6.64"	-0.436	0.436	-0.436	0.436	"<0.03"	NA	NA	NA	0.212997498320439	NA	0.436	NA
"930"	942	71	123	124	"Goel, Terman, & Terman (2003)"	2003	"journal article"	"pre-post test"	2	0	0	0	1	0	0	"bright light therapy"	NA	"clinical"	2	NA	"light therapy"	0	0	0	0	0	0	0	1	"39.79"	"89 at baseline, 88 post-treatment, 75 spring remission"	"20"	"69"	77.5	89	89	89	1	0	1	0	0	0	"patients with major depressive disorder or bipolar disorder"	"10-14 days"	2	"immediate after"	0	0	"Tridimensional Personality Questionnaire (TPQ)"	"Novelty seeking"	"+"	1	0	0	0	0	1	0	"outpatients"	"Major depressive disorder or Bipolar disorder"	1	1	0	0	0	0	0	0	"16.91"	"5.51"	"17.41"	"5.23"	0.0907441016333938	0.0907441016333938	0.0907441016333938	0.0907441016333938	NA	NA	NA	NA	0.0453254208259592	NA	0.0907441016333938	NA
"931"	943	71	123	124	"Goel, Terman, & Terman (2003)"	2003	"journal article"	"pre-post test"	2	0	0	0	1	0	0	"bright light therapy"	NA	"clinical"	2	NA	"light therapy"	0	0	0	0	0	0	0	1	"39.79"	"89 at baseline, 88 post-treatment, 75 spring remission"	"20"	"69"	77.5	89	89	89	1	0	1	0	0	0	"patients with major depressive disorder or bipolar disorder"	"10-14 days"	2	"the spring following winter treatment"	1	0	"Tridimensional Personality Questionnaire (TPQ)"	"Reward dependence"	"+"	1	0	0	0	1	0	0	"outpatients"	"Major depressive disorder or Bipolar disorder"	1	1	0	0	0	0	0	0	"19.09"	"4.8499999999999996"	"19.61"	"4.47"	0.107216494845361	0.107216494845361	0.107216494845361	0.107216494845361	NA	NA	NA	NA	0.0535313821818626	NA	0.107216494845361	NA
"932"	944	71	123	124	"Goel, Terman, & Terman (2003)"	2003	"journal article"	"pre-post test"	2	0	0	0	1	0	0	"bright light therapy"	NA	"clinical"	2	NA	"light therapy"	0	0	0	0	0	0	0	1	"39.79"	"89 at baseline, 88 post-treatment, 75 spring remission"	"20"	"69"	77.5	89	89	89	1	0	1	0	0	0	"patients with major depressive disorder or bipolar disorder"	"10-14 days"	2	"the spring following winter treatment"	1	0	"Tridimensional Personality Questionnaire (TPQ)"	"Harm avoidance"	"-"	-1	1	1	0	0	0	0	"outpatients"	"Major depressive disorder or Bipolar disorder"	1	1	0	0	0	0	0	0	"17.239999999999998"	"7.5"	"10.93"	"5.73"	-0.841333333333333	0.841333333333333	-0.841333333333333	0.841333333333333	"<0.03"	NA	NA	NA	0.387754785666869	NA	0.841333333333333	NA
"933"	945	71	123	124	"Goel, Terman, & Terman (2003)"	2003	"journal article"	"pre-post test"	2	0	0	0	1	0	0	"bright light therapy"	NA	"clinical"	2	NA	"light therapy"	0	0	0	0	0	0	0	1	"39.79"	"89 at baseline, 88 post-treatment, 75 spring remission"	"20"	"69"	77.5	89	89	89	1	0	1	0	0	0	"patients with major depressive disorder or bipolar disorder"	"10-14 days"	2	"the spring following winter treatment"	1	0	"Tridimensional Personality Questionnaire (TPQ)"	"Novelty seeking"	"+"	1	0	0	0	0	1	0	"outpatients"	"Major depressive disorder or Bipolar disorder"	1	1	0	0	0	0	0	0	"16.91"	"5.51"	"17.47"	"5.1100000000000003"	0.101633393829401	0.101633393829401	0.101633393829401	0.101633393829401	NA	NA	NA	NA	0.0507512108074903	NA	0.101633393829401	NA
